AppRating,AppReviews,AppSize,NumberOfInstallations,CurrentAndroidVersion,,,,,,,,
4.10,159.00,19.00,10000.00,4.00,,,,,,,,
3.90,967.00,14.00,500000.00,4.00,,,,,,,,
4.70,87510.00,8.70,5000000.00,4.00,,,,AppRating,AppReviews,AppSize,NumberOfInstallations,CurrentAndroidVersion
4.30,967.00,2.80,100000.00,4.40,,,AppRating,1,0.133248727,0.063507451,0.113192036,0.050633319
4.40,167.00,5.60,50000.00,2.30,,,AppReviews,0.133248727,1,0.226620886,0.631229518,0.037567781
3.80,178.00,19.00,50000.00,4.00,,,AppSize,0.063507451,0.226620886,1,0.237717373,0.154172272
4.10,36815.00,29.00,1000000.00,4.20,,,NumberOfInstallations,0.113192036,0.631229518,0.237717373,1,0.071103093
4.40,13791.00,33.00,1000000.00,3.00,,,CurrentAndroidVersion,0.050633319,0.037567781,0.154172272,0.071103093,1
4.70,121.00,3.10,10000.00,4.00,,,,,,,,
4.40,13880.00,28.00,1000000.00,4.10,,,,,,,,
4.40,8788.00,12.00,1000000.00,4.00,,,,,,,,
4.20,44829.00,20.00,10000000.00,4.10,,,,,,,,
4.60,4326.00,21.00,100000.00,4.40,,,,,,,,
4.40,1518.00,37.00,100000.00,2.30,,,,,,,,
3.20,55.00,2.70,5000.00,4.20,,,,,,,,
4.70,3632.00,5.50,500000.00,4.10,,,,,,,,
4.50,27.00,17.00,10000.00,2.30,,,,,,,,
4.30,194216.00,39.00,5000000.00,4.00,,,,,,,,
4.60,224399.00,31.00,10000000.00,4.10,,,,,,,,
4.00,450.00,14.00,100000.00,4.10,,,,,,,,
4.10,654.00,12.00,100000.00,4.00,,,,,,,,
4.70,7699.00,4.20,500000.00,4.00,,,,,,,,
4.70,118.00,23.00,50000.00,4.10,,,,,,,,
4.80,192.00,6.00,10000.00,3.00,,,,,,,,
4.70,20260.00,25.00,500000.00,4.00,,,,,,,,
4.10,203.00,6.10,100000.00,4.00,,,,,,,,
3.90,136.00,4.60,10000.00,2.30,,,,,,,,
4.10,223.00,4.20,100000.00,2.30,,,,,,,,
4.20,1120.00,9.20,100000.00,4.00,,,,,,,,
4.10,227.00,5.20,50000.00,2.30,,,,,,,,
4.50,5035.00,11.00,100000.00,4.00,,,,,,,,
