AppRating,AppReviews,AppSize,NumberOfInstallations,CurrentAndroidVersion
4.1,159,19,10000,4
3.9,967,14,500000,4
4.7,87510,8.7,5000000,4
4.3,967,2.8,100000,4.4
4.4,167,5.6,50000,2.3
3.8,178,19,50000,4
4.1,36815,29,1000000,4.2
4.4,13791,33,1000000,3
4.7,121,3.1,10000,4
4.4,13880,28,1000000,4.1
4.4,8788,12,1000000,4
4.2,44829,20,10000000,4.1
4.6,4326,21,100000,4.4
4.4,1518,37,100000,2.3
3.2,55,2.7,5000,4.2
4,190,2.5,50000,2.3
4.2,52530,7,5000000,4
4.8,116986,35,5000000,4
3.6,1379,16,500000,4.2
4.2,271920,16,10000000,5
4.8,7021,17,500000,4
4.6,197,3.4,50000,4
4.5,737,8.9,100000,4.1
4.3,3574,3.9,1000000,4
4.5,994,2.9,100000,4.1
4.9,197136,38,1000000,4.1
3.9,142,32,50000,6
4.4,15168,37,1000000,4.2
4,2155,15,500000,5
4.3,138,5.4,100000,4
4.8,116507,5,1000000,4
4.6,90468,5.9,5000000,2.3
4.2,860,13,100000,4
4.1,363934,7.1,10000000,4.1
4.7,967,6.7,500000,4
4.3,17506,17,1000000,4.1
3.3,1862,19,1000000,4.1
4.6,2084,6.7,500000,2.3
4.8,47303,21,1000000,4.1
4.1,85842,37,5000000,4
4.6,7831,15,100000,4
4.1,91615,23,5000000,4.1
4.6,4620,19,500000,4
4.7,21336,23,1000000,3
4.5,26875,73,500000,4
4.2,30847,55,5000000,4.1
4.6,188841,3.2,5000000,4
3.1,4034,0.023,100000,2.2
3.9,45964,16,1000000,4.1
4.1,6903,14,1000000,4.1
4.4,31614,37,10000000,4
4.5,207372,11,5000000,4
4.4,1225,25,100000,4.1
4.4,380837,7.3,10000000,4.2
4.3,10600,6.5,1000000,4
4.4,74359,25,1000000,4
4.6,822,3.1,100000,4
4.4,2287,1.5,1000000,2.2
4.7,4162,7.5,100000,4
4.7,286897,39,10000000,3
4.4,177703,13,10000000,5
4.1,17529,10,1000000,4
4.2,177263,13,10000000,5
4.8,237468,8.8,1000000,4
4.4,32254,5.5,1000000,2.1
4.4,483565,20,10000000,4.1
4.4,552441,29,10000000,4.1
4.4,93825,11,5000000,4.1
4.2,15287,17,1000000,4
4.5,205739,17,5000000,4.1
4,9498,0.118,1000000,2.3
4.2,88427,5.1,5000000,4
4.6,183374,44,1000000,4.1
4.1,20901,7.3,1000000,4.1
4,122595,30,1000000,5
3.9,2646,9.1,100000,4.2
4.1,21867,39,1000000,5
4.5,653008,16,10000000,4.4
3.6,2639,8.5,100000,6
4.3,1511,12,100000,4.1
4.3,44550,72,1000000,5
4.2,2442,9.6,100000,4.1
4.2,155234,22,1000000,4.4
4.5,12216,13,1000000,4.1
3.8,92058,12,10000000,4.1
3,493,23,50000,4.4
4.1,33387,20,1000000,4.4
4.2,123279,25,10000000,4.4
4.1,27424,17,1000000,4.4
4,29706,19,1000000,4.4
3.7,197774,44,10000000,4.4
3.9,8674,19,1000000,4.4
4.3,296771,11,10000000,4.1
4.2,123279,25,10000000,4.4
4.5,653008,16,10000000,4.4
4.1,33387,20,1000000,4.4
4.4,288150,21,5000000,4.4
4.1,115033,30,10000000,5
3.9,801,57,100000,4.3
4,29706,19,1000000,4.4
4.1,27424,17,1000000,4.4
3.8,35279,15,1000000,4.4
4,35931,19,1000000,4.4
3.9,22378,19,1000000,4.4
4.2,14807,19,1000000,4.4
4.7,11689,20,500000,4.4
4.6,77563,39,10000000,4.2
4.3,5499,94,100000,4.1
4.4,70769,35,5000000,4
4.3,26652,41,1000000,4
4.6,71269,49,1000000,4
4.6,20301,22,1000000,4.3
4.6,56145,23,1000000,5
4.6,20326,28,1000000,4.1
4.5,12955,7.2,1000000,4.4
4.1,2681,6.5,500000,4
4.6,4102,24,500000,4.2
4.8,570242,20,10000000,4.1
4.5,121838,15,5000000,4
4.4,12858,55,500000,5
3,4260,6.3,5000000,2.2
4.4,726074,45,10000000,4.4
4.4,3829,23,1000000,4.1
4.3,33572,37,1000000,4.4
3.5,6145,13,10000000,5
4.3,34327,8.1,5000000,4
4.5,7457,13,1000000,4.1
3.7,41941,14,10000000,4.4
4.2,10944,36,1000000,4.1
4.3,665,3,500000,2.3
4.6,2167,1.4,500000,2.3
4.5,53652,39,1000000,5
3.9,18961,1.8,5000000,2.3
4.3,9412,1.7,1000000,4
3.3,9663,19,1000000,4.4
4.5,655067,72,10000000,4
4.5,10434,18,1000000,4
4.7,1125017,25,10000000,4.3
4.4,74673,17,10000000,4
4.5,461137,60,10000000,4
4.4,9305,14,1000000,4
4.8,230727,87,10000000,4.1
4.4,37023,33,10000000,5
4.4,98123,40,10000000,4.1
4.7,21262,29,1000000,4.4
4.3,118253,40,10000000,4.1
4.7,141529,24,5000000,4.1
4.2,70226,38,5000000,4.1
4.1,15763,54,1000000,4.1
4.1,84911,71,10000000,4.1
